run_id,sweep_key,sweep_value,model_name,seed,n_samples,anomaly_ratio,label_noise,pr_auc,recall_anomaly,precision_anomaly,f1_anomaly,accuracy,tn,fp,fn,tp
anomaly_ratio_0.01_seed_2_vqc_4,anomaly_ratio,0.01,vqc_4,2,1000,0.01,0.05,0.047199293853588606,0.058823529411764705,0.017543859649122806,0.02702702702702703,0.76,227,56,16,1
anomaly_ratio_0.01_seed_2_vqc_3,anomaly_ratio,0.01,vqc_3,2,1000,0.01,0.05,0.05494057068697525,0.0,0.0,0.0,0.9,270,13,17,0
anomaly_ratio_0.01_seed_2_vqc_2,anomaly_ratio,0.01,vqc_2,2,1000,0.01,0.05,0.07796689444199553,0.0,0.0,0.0,0.9433333333333334,283,0,17,0
anomaly_ratio_0.01_seed_2_random_forest,anomaly_ratio,0.01,random_forest,2,1000,0.01,0.05,0.16217705357769918,0.058823529411764705,1.0,0.1111111111111111,0.9466666666666667,283,0,16,1
anomaly_ratio_0.01_seed_2_svm,anomaly_ratio,0.01,svm,2,1000,0.01,0.05,0.319156864028054,0.0,0.0,0.0,0.9433333333333334,283,0,17,0
anomaly_ratio_0.01_seed_2_vqc_1,anomaly_ratio,0.01,vqc_1,2,1000,0.01,0.05,0.12063348773333779,0.29411764705882354,0.06493506493506493,0.10638297872340426,0.72,211,72,12,5
anomaly_ratio_0.01_seed_4_vqc_4,anomaly_ratio,0.01,vqc_4,4,1000,0.01,0.05,0.045423197505071254,0.0,0.0,0.0,0.7533333333333333,226,56,18,0
anomaly_ratio_0.01_seed_4_vqc_3,anomaly_ratio,0.01,vqc_3,4,1000,0.01,0.05,0.08416520326409965,0.05555555555555555,0.1,0.07142857142857142,0.9133333333333333,273,9,17,1
anomaly_ratio_0.01_seed_4_vqc_2,anomaly_ratio,0.01,vqc_2,4,1000,0.01,0.05,0.06348427126463642,0.0,0.0,0.0,0.94,282,0,18,0
anomaly_ratio_0.01_seed_4_random_forest,anomaly_ratio,0.01,random_forest,4,1000,0.01,0.05,0.18213962985223534,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.9333333333333333,278,4,16,2
anomaly_ratio_0.01_seed_4_svm,anomaly_ratio,0.01,svm,4,1000,0.01,0.05,0.1335557248792047,0.05555555555555555,0.5,0.1,0.94,281,1,17,1
